Drug_ID,Drug,Y
Acetaminophen,CC(=O)Nc1ccc(O)cc1,1.0
Acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,0.37
"Acetylmethadol, L-",CCC(OC(C)=O)C(CC(C)[NH+](C)C)(c1ccccc1)c1ccccc1,8.3
Acivicin,[NH3+]C(C(=O)[O-])C1CC(Cl)=NO1,0.5
Aclidinium bromide,O=C(OC1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,4.3
Acyclovir,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,0.71
Adinazolam,CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0.98
Albuterol (salbutamol),CC(C)(C)[NH2+]CC(O)c1ccc(O)c(CO)c1,1.9
Alcuronium,C=CC[N+]12CCC34c5ccccc5N5/C=C6/C7CC8C9(CC[N+]8(CC=C)C/C7=C/CO)c7ccccc7N(/C=C(/C(CC31)/C(=C/CO)C2)C54)C69,0.32
Alendronate,[NH3+]CCCC(O)(P(=O)([O-])[O-])P(=O)([O-])O,0.33
Alfuzosin,COc1cc2[nH+]c(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,1.5
Almokalant,CCCS(=O)CCC[NH+](CC)CC(O)COc1ccc(C#N)cc1,1.8
Almorexant,CNC(=O)C(c1ccccc1)N1CCc2cc(OC)c(OC)cc2C1CCc1ccc(C(F)(F)F)cc1,9.75
Alosetron,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,1.1
Alpiropride,C=CC[NH+]1CCCC1CNC(=O)c1cc(S(=O)(=O)NC)c(N)cc1OC,2.3
Alprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0.8
Alprostadil,CCCCCC(O)/C=C/C1C(O)CC(=O)C1CCCCCCC(=O)[O-],2.4
Amdinocillin,CC1(C)SC2C([NH+]=CN3CCCCCC3)C(=O)N2C1C(=O)[O-],0.37
Amikacin,NC1CC(NC(=O)C(O)CC[NH3+])C(OC2OC(CO)C(O)C([NH3+])C2O)C(O)C1OC1OC(C[NH3+])C(O)C(O)C1O,0.16
"Aminocamptothecin, 9-",CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1,2.2
"Aminohexanoic acid, 6-",[NH3+]CCCCCC(=O)[O-],0.39
"Aminosalicylic acid, 5-",Nc1ccc(O)c(C(=O)[O-])c1,0.33
Amiodarone,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCC[NH+](CC)CC)c(I)c1,60.0
Amlodipine,CCOC(=O)C1=C(COCC[NH3+])NC(C)=C(C(=O)OC)C1c1ccccc1Cl,17.0
Amoxicillin,CC1(C)SC2C(NC(=O)C([NH3+])c3ccc(O)cc3)C(=O)N2C1C(=O)[O-],0.25
AMP579,CCNC(=O)C1CC(n2ccc3c(NC(CC)Cc4sccc4Cl)ncnc32)C(O)C1O,0.84
Amphetamine (-d),CC([NH3+])Cc1ccccc1,6.1
Amphotericin B,CC1/C=C\C=C/C=C\C=C/C=C\C=C/C=C\C(OC2OC(C)C(O)C([NH3+])C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)[O-],0.62
Ampicillin,CC1(C)SC2C(NC(=O)C([NH3+])c3ccccc3)C(=O)N2C1C(=O)[O-],0.22
Amrinone,Nc1cc(-c2ccncc2)c[nH]c1=O,1.3
Amsacrine,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2[nH+]c2ccccc12,1.6
Anhydrovinblastine,CCC1=CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,12.0
Anidulafungin,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)NC4CC(O)C(O)NC(=O)C5C(O)C(C)CN5C(=O)C(C(C)O)NC(=O)C(C(O)C(O)c5ccc(O)cc5)NC(=O)C5CC(O)CN5C(=O)C(C(C)O)NC4=O)cc3)cc2)cc1,0.57
AP1903,CCC(C(=O)N1CCCCC1C(=O)OC(CCc1ccc(OC)c(OC)c1)c1cccc(OCC(=O)NCCNC(=O)COc2cccc(C(CCc3ccc(OC)c(OC)c3)OC(=O)C3CCCCN3C(=O)C(CC)c3cc(OC)c(OC)c(OC)c3)c2)c1)c1cc(OC)c(OC)c(OC)c1,0.62
Apalcillin,CC1(C)SC2C(NC(=O)C(NC(=O)c3cnc4cccnc4c3[O-])c3ccccc3)C(=O)N2C1C(=O)[O-],0.16
Apixaban,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,0.3
Aplidine,CCC(C)C1NC(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)C2CCCN2C(=O)C(C)=O)C(C)OC(=O)C(Cc2ccc(OC)cc2)N(C)C(=O)C2CCCN2C(=O)C(CC(C)C)NC(=O)C(C)C(=O)C(C(C)C)OC(=O)CC1O,13.3
Apomorphine,C[NH+]1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,1.6
Aripiprazole,O=C1CCc2ccc(OCCCC[NH+]3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,4.9
Artesunate,CC1CCC2C(C)C(OC(=O)CCC(=O)O)OC3OC4(C)CCC1C32OO4,15.0
Ascorbic acid,O=C1OC(C(O)CO)C([O-])=C1O,0.35
Asenapine,C[NH+]1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,23.0
Atenolol,CC(C)[NH2+]CC(O)COc1ccc(CC(N)=O)cc1,0.95
Atipamizole,CCC1(c2cnc[nH]2)Cc2ccccc2C1,2.7
Atomoxetine,C[NH2+]CCC(Oc1ccccc1C)c1ccccc1,0.85
Atracurium,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,0.1
Atropine,C[NH+]1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3.3
Avibactam,NC(=O)C1CCC2CN1C(=O)N2OS(=O)(=O)[O-],0.24
Avosentan,COc1ccccc1Oc1c([N-]S(=O)(=O)c2ccc(C)cn2)nc(-c2ccncc2)nc1OC,0.27
Azacitidine,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,0.47
Azapropazone,CCC[c-]1c(=O)n2c(N(C)C)nc3ccc(C)cc3n2c1=O,0.12
AZD4877,Cc1ccc(C(=O)N(CCC[NH3+])C(c2nc3snc(C)c3c(=O)n2Cc2ccccc2)C(C)C)cc1,6.74
Azelastine,C[NH+]1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,15.0
Azithromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(O)CC(C)C[NH+](C)C(C)C(O)C1(C)O,33.0
Azlocillin,CC1(C)SC2C(NC(=O)C(NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2C1C(=O)[O-],0.26
Baclofen,[NH3+]CC(CC(=O)[O-])c1ccc(Cl)cc1,0.65
Bambuterol,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)C[NH2+]C(C)(C)C)c1,1.6
Bazedoxifene,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCC[NH+]3CCCCCC3)cc2)c2ccc(O)cc12,15.4
BB 83698,CC(C)(C)C(NC(=O)C(CC1CCCC1)CN(O)C=O)C(=O)N1CCN(Cc2ccc3c(c2)OCO3)CC1,1.1
Beclomethasone dipropionate,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC21C,0.29
Bepridil,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)[NH+]1CCCC1,10.1
Berubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC([NH3+])C(OCc2ccccc2)C(C)O1,48.0
Betamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1.3
Betamipron,O=C([O-])CCNC(=O)c1ccccc1,0.28
Bevantolol,COc1ccc(CC[NH2+]CC(O)COc2cccc(C)c2)cc1OC,0.67
BI2536,CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CC[NH+](C)CC4)cc3OC)nc2N1C1CCCC1,31.2
Biapenem,CC(O)C1C(=O)N2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)C(C)C12,0.2
Bidisomide,CC(=O)N(CCC(CC[NH+]1CCCCC1)(C(N)=O)c1ccccc1Cl)C(C)C,2.6
Bilobalide,CC(C)(C)C1(O)CC2OC(=O)CC23C(=O)OC2OC(=O)C(O)C231,2.5
Binodenoson,Nc1nc(N[NH+]=CC2CCCCC2)nc2c1ncn2C1OC(CO)C(O)C1O,0.4
Biolimus A9,CCOCCOC1CCC(CC(C)C2CC(=O)C(C)/C=C(\C)C(O)C(OC)C(=O)C(C)CC(C)/C=C/C=C/C=C(\C)C(OC)CC3CCC(C)C(O)(O3)C(=O)C(=O)N3CCCCC3C(=O)O2)CC1OC,44.5
Biperiden,OC(CC[NH+]1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,12.0
Bisaramil,CC[NH+]1CC2C[NH+](C)CC(C1)C2OC(=O)c1ccc(Cl)cc1,9.0
Bivalirudin,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)[O-])NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@@H]1CCCN1C(=O)[C@H]([NH3+])Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)[O-])C(=O)N[C@@H](CCC(=O)[O-])C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)[O-],0.27
Bizelesin,Cc1c[nH]c2c(O)cc3c(c12)C(CCl)CN3C(=O)c1cc2cc(NC(=O)Nc3ccc4[nH]c(C(=O)N5CC(CCl)c6c5cc(O)c5[nH]cc(C)c65)cc4c3)ccc2[nH]1,0.05
Bleomycin,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H]([NH3+])C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1cnc[nH]1,9.43
BLP1654,CC1(C)SC2C(NC(=O)C(NC(=O)NC(N)=[NH2+])c3ccccc3)C(=O)N2C1C(=O)[O-],0.24
BMS-214662,N#Cc1ccc2c(c1)CN(S(=O)(=O)c1cccs1)C(Cc1ccccc1)CN2Cc1cnc[nH]1,0.84
Bortezomib,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,10.0
Bosentan,COc1ccccc1Oc1c([N-]S(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,0.29
Bromazepam,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,0.85
Bromfenac,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1,0.11
Bromotetrandrine,COc1ccc2cc1Oc1ccc(cc1)CC1(C)c3cc(c(OC)cc3CC[NH+]1C)Oc1c(OC)c(OC)c(Br)c3c1C(C)(C2)N(C)CC3,51.0
Brostallicin,C=C(Br)C(=O)Nc1cc(C(=O)Nc2cc(C(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCNC(N)=[NH2+])n(C)c4)n(C)c3)n(C)c2)n(C)c1,0.36
Brotizolam,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,0.75
Budesonide,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,3.9
Buflomedil,COc1cc(OC)c(C(=O)CCC[NH+]2CCCC2)c(OC)c1,1.3
Bumetanide,CCCCNc1cc(C(=O)[O-])cc(S(N)(=O)=O)c1Oc1ccccc1,0.16
Bunazosin,CCCC(=O)N1CCCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,0.72
Bupivacaine,CCCC[NH+]1CCCCC1C(=O)Nc1c(C)cccc1C,0.84
Busulphan,CS(=O)(=O)OCCCCOS(C)(=O)=O,0.55
Buthionine sulfoximine,CCCCS(=N)(=O)CCC([NH3+])C(=O)[O-],0.26
Butorphanol,Oc1ccc2c(c1)C13CCCCC1(O)C(C2)[NH+](CC1CCC1)CC3,12.0
Caderofloxacin,CC1CN(c2c(F)cc3c(=O)c(C(=O)[O-])cn(C4CC4)c3c2OC(F)F)CC[NH2+]1,1.1
Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,0.63
Candesartan,CCOc1nc2cccc(C(=O)[O-])c2n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,0.13
Candoxatrilat,COCCOCC(CC1(C(=O)NC2CCC(C(=O)[O-])CC2)CCCC1)C(=O)[O-],0.25
Cangrelor,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2C1OC(COP(=O)([O-])OP(=O)([O-])C(Cl)(Cl)P(=O)([O-])[O-])C(O)C1O,0.04
Carbenicillin,CC1(C)SC2C(NC(=O)C(C(=O)[O-])c3ccccc3)C(=O)N2C1C(=O)[O-],0.17
Carebastine,CC(C)(C(=O)[O-])c1ccc(C(=O)CCC[NH+]2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,0.41
Carfilzomib,CC(C)CC(NC(=O)C(CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)C1(C)CO1,0.13
Carnitine_L,C[N+](C)(C)CC(O)CC(=O)[O-],0.4
Carumonam,NC(=O)OCC1C(NC(=O)/C(=N/OCC(=O)[O-])c2csc(N)n2)C(=O)N1S(=O)(=O)[O-],0.18
Carzelesin,CCN(CC)c1ccc2cc(C(=O)Nc3ccc4[nH]c(C(=O)N5CC(CCl)c6c5cc(OC(=O)Nc5ccccc5)c5[nH]cc(C)c65)cc4c3)oc2c1,0.09
Caspofungin,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(O)C(NCC[NH3+])NC(=O)C2C(O)CCN2C(=O)C(C(O)CC[NH3+])NC(=O)C(C(O)C(O)c2ccc(O)cc2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,0.13
Cefamandole,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1,0.16
Cefatrizine,[NH3+]C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(CSc3c[n-]nn3)CSC12)c1ccc(O)cc1,0.22
Cefazolin,Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1,0.12
Cefcanel,Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)C(NC(=O)C(O)c4ccccc4)C3SC2)s1,0.13
Cefclidin,CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[N+]34CCC(C(N)=O)(CC3)CC4)CSC12)c1nsc(N)n1,0.27
Cefepime,CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CSC12)c1csc(N)n1,0.28
Cefetamet,CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C)CSC12)c1csc(N)n1,0.28
Cefodizime,CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)[O-])=C(CSc3nc(C)c(CC(=O)[O-])s3)CSC12)c1csc(N)n1,0.05
Cefonicid,O=C([O-])C1=C(CSc2nnnn2CS(=O)(=O)[O-])CSC2C(NC(=O)C(O)c3ccccc3)C(=O)N12,0.14
Cefoperazone,CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)C(=O)C1=O,0.17
Ceforanide,[NH3+]Cc1ccccc1CC(=O)NC1C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3CC(=O)[O-])CSC12,0.17
Cefoselis,CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)[O-])=C(Cn3ccc(=[NH2+])n3CCO)CSC12)c1csc(N)n1,0.3
Cefotaxime,CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CSC12)c1csc(N)n1,0.19
Cefotetan,COC1(NC(=O)C2SC(=C(C(N)=O)C(=O)[O-])S2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CSC21,0.13
Cefozopran,CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccn4ncccc43)CSC12)c1nsc(N)n1,0.24
Cefpiramide,Cc1cc([O-])c(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)cn1,0.15
Cefpirome,CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3cccc4c3CCC4)CSC12)c1csc(N)n1,0.24
Ceftaroline fosamil,CCO/N=C(/C(=O)NC1C(=O)N2C(C(=O)[O-])=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CSC12)c1nsc(NP(=O)([O-])O)n1,0.53
Ceftazidime,CC(C)(O/N=C(/C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)[O-],0.31
Ceftizoxime,CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)[O-])=CCSC12)c1csc(N)n1,0.2
Ceftobiprole,Nc1nc(/C(=N\O)C(=O)NC2C(=O)N3C(C(=O)[O-])=C(/C=C4\CCN(C5CC[NH2+]C5)C4=O)CSC23)ns1,0.27
Cefuroxime,CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CSC12)c1ccco1,0.15
Cephalexin,CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)C([NH3+])c3ccccc3)C2SC1,0.21
Cephaloridine,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12,0.46
Cephalothin,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,0.07
Cephapirin,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1,0.13
Cerivastatin,COCc1c(C(C)C)nc(C(C)C)c(/C=C/C(O)CC(O)CC(=O)[O-])c1-c1ccc(F)cc1,0.33
Chlorambucil,O=C([O-])CCCc1ccc(N(CCCl)CCCl)cc1,0.26
Chloramphenicol,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0.94
Chlorazepate,O=C([O-])C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,0.2
Chlordiazepoxide,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,0.25
Chlorpropamide,CCCNC(=O)[N-]S(=O)(=O)c1ccc(Cl)cc1,0.19
Chlortetracycline,C[NH+](C)C1C([O-])=C(C(N)=O)C(=O)C2(O)C([O-])=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,0.9
Chlorthalidone,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,3.9
Cibenzoline,c1ccc(C2(c3ccccc3)CC2C2=[NH+]CCN2)cc1,4.1
Cicaprost,CCC#CCC(C)C(O)C#CC1C(O)CC2C/C(=C\COCC(=O)[O-])CC21,0.08
Cilastatin,CC1(C)CC1C(=O)N/C(=C\CCCCSCC([NH3+])C(=O)[O-])C(=O)[O-],0.15
Cilazaprilat,O=C([O-])C(CCc1ccccc1)[NH2+]C1CCCN2CCCC(C(=O)[O-])N2C1=O,3.7
Cilomilast,COc1ccc(C2(C#N)CCC(C(=O)[O-])CC2)cc1OC1CCCC1,0.23
Cimetidine,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,1.2
Cinacalcet,CC([NH2+]CCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,17.6
Cinaciguat,O=C([O-])CCCC[NH+](CCc1ccccc1OCc1ccc(CCc2ccccc2)cc1)Cc1ccc(C(=O)[O-])cc1,0.24
Ciprofloxacin,O=C([O-])c1cn(C2CC2)c2cc(N3CC[NH2+]CC3)c(F)cc2c1=O,2.1
Cisapride,COc1cc(N)c(Cl)cc1C(=O)NC1CC[NH+](CCCOc2ccc(F)cc2)CC1OC,1.2
Cisatracurium,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,0.14
Cladribine,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1,7.7
Clarithromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,1.5
Clavulanic Acid,O=C([O-])C1/C(=C/CO)OC2CC(=O)N21,0.22
Clazosentan,COc1ccccc1Oc1c([N-]S(=O)(=O)c2ccc(C)cn2)nc(-c2ccnc(-c3nnn[n-]3)c2)nc1OCCO,0.23
Clevidipine,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,0.58
Clinafloxacin,[NH3+]C1CCN(c2c(F)cc3c(=O)c(C(=O)[O-])cn(C4CC4)c3c2Cl)C1,1.9
Clodronate,O=P([O-])([O-])C(Cl)(Cl)P(=O)([O-])O,0.88
Clofarabine,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,1.75
Clomipramine,C[NH+](C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,13.0
Clonazepam,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,2.9
Clozapine,C[NH+]1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,1.6
Cobimetinib,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)(C2CCCC[NH2+]2)C1,15.4
Cocaethylene,CCOC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1[NH+]2C,1.6
